SentID_GM,Sentence,Targ,Sentence_With_Blank,SimilarTo_Sentence,SimilarTo_SentID_GM,Alternate_SimilarTo_Sentence,Alternate_SimilarTo_SentID_GM,SimilarTo_Targets
3674,The proposal that there are human-like aliens on Mars is not very [tenable].,tenable,The proposal that there are human-like aliens on Mars is not very [tenable].,The proposal that there are aliens on Mars is not very [tenable].,1941,,,tenable
1943,"If we want to get fit, our habit of eating only junk food isn't [tenable].",tenable,"If we want to get fit, our habit of eating only junk food isn't [tenable].",,,,,
1948,To me it seems like this one is the most [tenable].,tenable,To me it seems like this one is the most [tenable].,,,,,
1958,We need a solution to climate change that is politically [tenable].,tenable,We need a solution to climate change that is politically [tenable].,,,,,
1959,Skipping class isn't a [tenable] option for someone who wants to graduate.,tenable,Skipping class isn't a XXXXX option for someone who wants to graduate.,,,,,
1963,Contact sports like football are less [tenable] when you are injured.,tenable,Contact sports like football are less XXXXX when you are injured.,,,,,
1964,He worked all night to come up with a [tenable] case for his client.,tenable,He worked all night to come up with a XXXXX case for his client.,,,,,
1969,People are fleeing from Syria because of all the fighting and political [turmoil].,turmoil,People are fleeing from Syria because of all the fighting and political [turmoil].,,,,,
1970,The financial collapse in 2008 caused a lot of suffering and [turmoil].,turmoil,The financial collapse in 2008 caused a lot of suffering and [turmoil].,,,,,
1971,"After the war, there was a long period of [turmoil].",turmoil,"After the war, there was a long period of [turmoil].",,,,,
1974,"The streets are safe now, but there used to be lots of [turmoil].",turmoil,"The streets are safe now, but there used to be lots of [turmoil].",,,,,
1978,I wonder how much [turmoil] exists in the world.,turmoil,I wonder how much XXXXX exists in the world.,,,,,
1989,The broken legal system has brought much [turmoil].,turmoil,The broken legal system has brought much [turmoil].,,,,,
1992,I am worried by all the [turmoil] in my life.,turmoil,I am worried by all the XXXXX in my life.,,,,,
1994,Lisa looked for some inner peace amid all the [turmoil].,turmoil,Lisa looked for some inner peace amid all the [turmoil].,,,,,
1995,War can be a time of lots of [turmoil].,turmoil,War can be a time of lots of [turmoil].,,,,,
1999,Saudi Arabia and Iran have long [vied] for influence in the Middle East.,vie,Saudi Arabia and Iran have long [vied] for influence in the Middle East.,,,,,
2001,The two siblings were eagerly [vying] for their mother's attention.,vie,The two siblings were eagerly [vying] for their mother's attention.,,,,,
2002,"In the final stage of the competition, two weight lifters will [vie] for the title.",vie,"In the final stage of the competition, two weight lifters will XXXXX for the title.",,,,,
2003,"In the competition this Sunday, both teams will [vie] for the championship.",vie,"In the competition this Sunday, both teams will XXXXX for the championship.",,,,,
2008,I sometimes why it is that people [vie] for certain things.,vie,I sometimes why it is that people XXXXX for certain things.,,,,,
2018,Richard has been [vying] for increased support.,vie,Richard has been [vying] for increased support.,,,,,
2020,The group of tourists all [vied] for a closer look at the Statue of Liberty.,vie,The group of tourists all [vied] for a closer look at the Statue of Liberty.,,,,,
2021,Ryan isn't competitive except when he is [vying] for jobs.,vie,Ryan isn't competitive except when he is [vying] for jobs.,,,,,
2023,Many artists are [vying] for the chance to paint the famous building.,vie,Many artists are [vying] for the chance to paint the famous building.,,,,,
2028,"After falling, the old man got back up by his own [volition].",volition ,"After falling, the old man got back up by his own [volition].",,,,,
2039,The young man did his homework on his own [volition].,volition ,The young man did his homework on his own [volition].,The young man decided to clean his room by his own [volition].,2045,,,volition
2049,His legs seemed to moved on their own [volition] when he fell.,volition ,His legs seemed to moved on their own [volition] when he fell.,,,,,
2051,The injured football player walked off the field by his own [volition].,volition ,The injured football player walked off the field by his own [volition].,,,,,
2053,The upset man left the room by his own [volition].,volition ,The upset man left the room by his own [volition].,,,,,
2054,He could leave with the police or by his own [volition]. ,volition ,He could leave with the police or by his own [volition].,,,,,
877,Tom's wife [goaded] him into buying her a new dress.,goad,Tom's wife [goaded] him into buying her a new dress.,,,,,
2058,The protesters kept complaining until they [goaded] the mayor into action.,goad,The protesters kept complaining until they [goaded] the mayor into action.,The protesters kept complaining until they [chivy] the mayor into action.,3328,,,chivy
879,Matthew's little sister [goaded] him in her most annoying voice until he got mad.,goad,Matthew's little sister [goaded] him in her most annoying voice until he got mad.,Matthew's little sister [chivied] him in her most annoying voice until he got mad.,3329,,,chivied
2059,The government was silent until it was [goaded] into action by a national outcry.,goad,The government was silent until it was [goaded] into action by a national outcry.,,,,,
865,Gary thought about the last time that someone tried to [goad] him.,goad,Gary thought about the last time that someone tried to XXXXX him.,,,,,
2061,Some kids are more likely to be [goaded] into doing stupid things.,goad,Some kids are more likely to be [goaded] into doing stupid things.,,,,,
2062,The editor had high expectations and [goaded] the writer to work harder.,goad,The editor had high expectations and [goaded] the writer to work harder.,The editor had high expectations and [chivy] the writer every day to work harder.,3331,The editor had high standards and [goaded] the writer every day to work harder.,873,"chivy,goaded"
